"id","bfi_e","bfi_a","bfi_c","bfi_n","bfi_o"
504,4.5,3,4.5,2,5
505,3.5,3.5,3.5,2.5,3.5
506,2.5,3.5,3,3.5,3.5
507,4,4,4,2.5,3
508,4.5,4.5,4.5,2,2.5
509,3,4.5,4.5,1.5,2.5
510,2,2.5,4,2,1
511,2,3.5,4,2,2
512,3.5,4.5,5,3.5,4.5
513,3,3.5,4,3,2.5
514,4,4.5,3,4,4.5
515,2,3.5,3.5,3.5,3
516,3.5,4,4.5,3,5
517,4,4,3.5,1.5,5
518,2.5,4,3,1,4
519,3.5,3,2.5,3.5,3.5
520,3,3,3,2,2
521,4,4,4,2.5,3
524,3,4.5,5,3.5,4.5
525,5,3.5,3.5,2,2
526,4.5,3.5,4.5,3.5,3.5
527,2,3,3,3.5,2
528,4,3.5,3,3,3.5
530,3,5,3.5,2,4.5
531,3.5,3.5,2.5,2,1.5
532,4,2,4,2,4
